id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42512468,AYASOFYA SUİTES 3,334675357,Yakup,,Fatih,41.00662,28.97041,Entire home/apt,164,2,21,2020-12-23,4.20,5,170
42512522,Central and close place to metro subway,208778668,Alperen,,Kagithane,41.08315,29.00365,Private room,71,1,0,,,1,0
42512961,Stylish New Furnished City Center Apartment,73195832,Cihan,,Besiktas,41.07372,29.01883,Private room,109,2,0,,,1,0
42513503,Friendly and comfortable suit,319550749,Moh,,Fatih,41.0131,28.94893,Entire home/apt,223,1,3,2020-03-13,0.29,3,88
42517944,"Hello friends 
Amazing İstanbul view Cozy Home",20748276,Gokhan Onur,,Kagithane,41.08452,29.00429,Private room,182,3,0,,,2,179
42518317,3 BEDROOM MODERN PERA DUPLEX FOR LARGE GROUPS,17768502,Mia,,Beyoglu,41.03203,28.96995,Entire home/apt,572,2,5,2020-11-12,0.49,12,150
42520399,Upfloor Flat at Center,329949112,Enes,,Kadikoy,40.99393,29.05027,Entire home/apt,390,5,0,,,2,180
42523397,Comfortable room in a good place,338708467,Murat,,Beyoglu,41.02644,28.97973,Private room,250,1,0,,,1,365
42524060,Cozy Flat with a lovely neighborhood in Beşiktaş,147087299,Ezgi,,Besiktas,41.046,29.01011,Private room,170,1,1,2020-10-17,0.39,1,0
42524121,Single Room without breakfast.,8253194,Mr Ramazan,,Fatih,41.00354,28.97128,Private room,132,1,16,2020-12-31,3.50,8,363
42526890,Hanne Homestay (Spacious 4BR Apartment For Family),259213089,Nasaruddin,,Fatih,41.01181,28.94283,Entire home/apt,483,2,0,,,2,362
42527407,joi Suites,338728976,Ahmet,,Gaziosmanpasa,41.0762,28.88269,Private room,169,1,0,,,1,1
42528961,THE RETRO HOUSE 70S!,256800753,Behram Güney,,Sisli,41.06027,28.99831,Private room,122,1,0,,,2,180
42529603,PERA FLOWER YELLOW HOUSE IN TAKSIM,229048031,Ilhan,,Beyoglu,41.03621,28.9739,Entire home/apt,170,2,16,2020-12-29,1.58,16,360
42529733,Sultanahmetteki eviniz,338745388,Muhammet Mustafa,,Fatih,41.01049,28.97714,Private room,318,2,0,,,1,1
42530299,Beyoğlu Efes İstanbul Hotel,338726478,Mahdi,,Beyoglu,41.0349,28.98228,Entire home/apt,193,1,0,,,4,365
42530311,YaniKapi,330208181,Syed,,Fatih,41.00567,28.95039,Shared room,74,1,0,,,1,365
42530826,Private Safe and Clean Stüdyo İn Beyoğlu,181064753,Ferhat,,Beyoglu,41.03609,28.98248,Private room,103,1,9,2020-12-26,0.89,9,365
42531622,PERA ORANGE  FLOWER HOUSE İN TAKSİM,229048031,Ilhan,,Beyoglu,41.03567,28.97325,Entire home/apt,161,2,23,2020-12-29,2.24,16,352
42533064,"Kadıköy Merkez boğaya, Metro ve metrobüse 2 dakika",317777589,Furkan,,Kadikoy,40.99124,29.03293,Private room,186,1,0,,,1,180
42535380,Welcome Home / Tepebaşı,5038830,Berkay Yahya,,Beyoglu,41.03603,28.97319,Private room,186,3,0,,,4,88
42536048,"Çift Balkonlu, Temiz, Keyifli Çatı Katı",281666153,Mustafa,,Atasehir,40.97323,29.12512,Entire home/apt,152,1,0,,,1,177
42536240,Economy Twin Room with Breakfast | Sarı Konak,188477417,Umit,,Fatih,41.00396,28.97891,Private room,282,1,0,,,9,363
42536578,Deluxe 1+1 flat at the Galata,269576871,Şükrü,,Beyoglu,41.02444,28.97874,Entire home/apt,209,2,6,2020-11-28,0.98,8,359
42536638,Standard Twin Room with Breakfast | Sarı Konak,188477417,Umit,,Fatih,41.00404,28.97901,Private room,327,1,0,,,9,1
42536762,Deluxe Twin Room with Breakfast | Sarı Konak,188477417,Umit,,Fatih,41.00347,28.97862,Private room,363,1,0,,,9,360
42536884,Deluxe Double Room with Breakfast | Sarı Konak,188477417,Umit,,Fatih,41.00497,28.98074,Private room,363,1,0,,,9,1
42536998,Peaceful Room Center of the Life,215938278,Ali Ekin,,Besiktas,41.04614,29.00428,Private room,100,6,4,2020-09-25,0.40,2,215
42537020,Family Room with Breakfast | Sarı Konak,188477417,Umit,,Fatih,41.00527,28.97928,Private room,609,1,0,,,9,346
