listing_id,date
20815,2010-03-24
20815,2010-05-08
20815,2010-06-02
20815,2010-08-27
20815,2010-09-03
20815,2011-08-26
20815,2013-09-27
20815,2015-06-14
20815,2015-07-30
20815,2015-08-14
20815,2015-09-11
20815,2015-09-18
20815,2015-09-26
20815,2015-10-02
20815,2015-10-24
20815,2015-11-23
20815,2015-12-20
20815,2016-01-01
20815,2016-01-16
20815,2016-03-19
20815,2016-04-05
20815,2016-05-24
20815,2016-06-06
20815,2016-06-13
20815,2016-08-10
20815,2016-09-14
20815,2016-11-03
20815,2016-11-06
20815,2017-04-06
20815,2017-06-08
20815,2017-08-04
20815,2017-08-27
20815,2017-09-30
20815,2017-12-09
20815,2018-01-05
20815,2018-03-30
20815,2018-09-04
20815,2018-09-17
20815,2018-10-21
20815,2018-10-30
20815,2018-11-07
27271,2018-04-07
27271,2018-04-07
27271,2018-04-07
27271,2018-04-07
27271,2018-04-07
27271,2018-04-07
27271,2018-04-08
27271,2018-04-08
27271,2018-04-08
27271,2018-05-04
30697,2010-06-14
33368,2014-10-21
35580,2014-01-06
35580,2014-07-15
35580,2014-07-28
35580,2014-09-10
35580,2014-09-15
35580,2014-11-02
35580,2015-01-22
35580,2015-02-05
35580,2015-03-11
35580,2015-03-15
35580,2015-03-26
35580,2015-04-07
35580,2015-04-18
35580,2015-04-25
35580,2015-05-26
35580,2015-05-31
35580,2015-08-20
35580,2015-08-27
35580,2015-09-06
35580,2015-09-12
35580,2015-10-10
35580,2015-10-24
35580,2015-10-26
35580,2015-10-31
35580,2015-12-08
35580,2016-01-05
35580,2016-01-30
35580,2016-02-11
35580,2016-04-26
35580,2016-05-09
35580,2016-06-10
35580,2016-08-12
35580,2016-08-25
35580,2017-06-25
35580,2017-08-15
35580,2018-09-28
35580,2018-10-07
35580,2020-02-03
41753,2010-10-13
41753,2010-10-21
41753,2011-03-10
41753,2011-04-10
41753,2011-04-23
41753,2011-05-12
41753,2011-05-16
41753,2011-06-14
41753,2011-07-22
41753,2011-07-31
41753,2011-08-04
41753,2011-08-16
41753,2011-08-23
41753,2011-09-10
41753,2011-09-20
41753,2011-09-28
41753,2011-10-12
41753,2011-10-22
41753,2011-11-01
41753,2011-11-30
41753,2011-12-12
41753,2011-12-22
41753,2012-01-02
41753,2012-04-03
41753,2012-04-22
41753,2012-05-19
41753,2012-05-22
41753,2012-08-26
41753,2012-09-21
41753,2012-10-09
41753,2013-04-28
41753,2013-05-12
41753,2013-05-26
41753,2013-06-10
41753,2014-01-03
41753,2014-04-05
41753,2014-05-15
41753,2014-05-23
41753,2014-10-10
41753,2014-10-17
41753,2014-10-29
41753,2014-11-10
41753,2014-12-01
41753,2015-05-04
41753,2017-01-02
41753,2017-05-21
44421,2010-09-08
44421,2010-09-18
44421,2010-10-02
44421,2010-12-16
44421,2010-12-31
44421,2011-01-05
44421,2011-01-10
44421,2011-02-10
44421,2011-02-23
44421,2011-03-31
44421,2011-04-02
44421,2011-04-12
44421,2011-04-28
44421,2011-05-18
44421,2011-05-25
44421,2011-06-09
44421,2011-06-24
44421,2011-07-03
44421,2011-07-07
44421,2011-07-20
44421,2011-08-04
44421,2011-08-17
44421,2011-08-23
44421,2011-09-18
44421,2011-10-18
44421,2011-10-25
44421,2011-11-07
